;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
PRECIOS  PROMEDIO A CONSUMIDOR FINAL EN CIUDAD CAPITAL;;;;;;;;;;
;;;;;;;;;;
FECHA;Tipo de Cambio;Superior;Regular;Diesel;Bunker;Glp Cilindro 25Lbs.;;;;
;GTQ/USD;GTQ/GALON;GTQ/GALON;GTQ/GALON;GTQ/GALON;GTQ/CIL 25 LB;GTQ/LB;;;
26/abr/2022;7,65144; 38,42 ; 35,38 ; 34,81 ; 23,42 ; 122,00 ; 4,88 ;;;
27/abr/2022;7,65353; 38,42 ; 35,38 ; 34,81 ; 23,42 ; 122,00 ; 4,88 ;;;
28/abr/2022;7,65775; 38,42 ; 35,38 ; 34,81 ; 23,42 ; 122,00 ; 4,88 ;;;
29/abr/2022;7,66517; 38,42 ; 35,38 ; 34,81 ; 23,42 ; 122,00 ; 4,88 ;;;
30/abr/2022;7,66517; 38,42 ; 35,38 ; 34,81 ; 23,42 ; 122,00 ; 4,88 ;;;
01/may/2022;7,66517; 38,42 ; 35,38 ; 34,81 ; 23,42 ; 122,00 ; 4,88 ;;;
02/may/2022;7,66517; 38,42 ; 35,38 ; 34,81 ; 23,42 ; 122,00 ; 4,88 ;;;
03/may/2022;7,66140; 38,42 ; 35,38 ; 34,81 ; 23,42 ; 122,00 ; 4,88 ;;;
04/may/2022;7,66582; 39,26 ; 36,16 ; 37,65 ; 23,27 ; 122,00 ; 4,88 ;;;
05/may/2022;7,67075; 39,26 ; 36,16 ; 37,65 ; 23,27 ; 122,00 ; 4,88 ;;;
06/may/2022;7,66795; 39,26 ; 36,16 ; 37,65 ; 23,27 ; 122,00 ; 4,88 ;;;
07/may/2022;7,66795; 39,26 ; 36,16 ; 37,65 ; 23,27 ; 122,00 ; 4,88 ;;;
08/may/2022;7,66795; 39,26 ; 36,16 ; 37,65 ; 23,27 ; 122,00 ; 4,88 ;;;
09/may/2022;7,66706; 39,26 ; 36,16 ; 37,65 ; 23,27 ; 122,00 ; 4,88 ;;;
10/may/2022;7,66326; 41,65 ; 38,55 ; 38,42 ; 23,57 ; 122,00 ; 4,88 ;;;
11/may/2022;7,66764; 41,65 ; 38,55 ; 38,42 ; 23,57 ; 122,00 ; 4,88 ;;;
12/may/2022;7,66945; 41,65 ; 38,55 ; 38,42 ; 23,57 ; 122,00 ; 4,88 ;;;
13/may/2022;7,66915; 41,65 ; 38,55 ; 38,42 ; 23,57 ; 122,00 ; 4,88 ;;;
14/may/2022;7,66915; 41,65 ; 38,55 ; 38,42 ; 23,57 ; 122,00 ; 4,88 ;;;
15/may/2022;7,66915; 41,65 ; 38,55 ; 38,42 ; 23,57 ; 122,00 ; 4,88 ;;;
16/may/2022;7,66475; 41,65 ; 38,55 ; 38,42 ; 23,57 ; 122,00 ; 4,88 ;;;
17/may/2022;7,66612; 43,24 ; 40,13 ; 35,32 ; 23,27 ; 122,00 ; 4,88 ;;;
18/may/2022;7,66642; 43,24 ; 40,13 ; 35,32 ; 23,27 ; 122,00 ; 4,88 ;;;
19/may/2022;7,66703; 43,24 ; 40,13 ; 35,32 ; 23,27 ; 122,00 ; 4,88 ;;;
20/may/2022;7,66692; 43,24 ; 40,13 ; 35,32 ; 23,27 ; 122,00 ; 4,88 ;;;
21/may/2022;7,66692; 43,24 ; 40,13 ; 35,32 ; 23,27 ; 122,00 ; 4,88 ;;;
22/may/2022;7,66692; 43,24 ; 40,13 ; 35,32 ; 23,27 ; 122,00 ; 4,88 ;;;
23/may/2022;7,66903; 43,24 ; 40,13 ; 35,32 ; 23,27 ; 122,00 ; 4,88 ;;;
24/may/2022;7,66774; 42,98 ; 39,87 ; 32,26 ; 24,15 ; 122,00 ; 4,88 ;;;
25/may/2022;7,67577; 42,98 ; 39,87 ; 32,26 ; 24,15 ; 122,00 ; 4,88 ;;;
26/may/2022;7,67318; 42,98 ; 39,87 ; 32,26 ; 24,15 ; 122,00 ; 4,88 ;;;
27/may/2022;7,68190; 42,98 ; 39,87 ; 32,26 ; 24,15 ; 122,00 ; 4,88 ;;;
28/may/2022;7,68190; 42,98 ; 39,87 ; 32,26 ; 24,15 ; 122,00 ; 4,88 ;;;
29/may/2022;7,68190; 42,98 ; 39,87 ; 32,26 ; 24,15 ; 122,00 ; 4,88 ;;;
30/may/2022;7,67765; 42,98 ; 39,87 ; 32,26 ; 24,15 ; 122,00 ; 4,88 ;;;
31/may/2022;7,68434; 39,14 ; 37,92 ; 30,50 ; 24,52 ; 122,00 ; 4,88 ;;;
01/jun/2022;7,69552; 39,14 ; 37,92 ; 30,50 ; 24,52 ; 122,00 ; 4,88 ;;;
02/jun/2022;7,70758; 39,14 ; 37,92 ; 30,50 ; 24,52 ; 122,00 ; 4,88 ;;;
03/jun/2022;7,71242; 39,14 ; 37,92 ; 30,50 ; 24,52 ; 122,00 ; 4,88 ;;;
04/jun/2022;7,71242; 39,14 ; 37,92 ; 30,50 ; 24,52 ; 122,00 ; 4,88 ;;;
05/jun/2022;7,71242; 39,14 ; 37,92 ; 30,50 ; 24,52 ; 122,00 ; 4,88 ;;;
06/jun/2022;7,70466; 39,14 ; 37,92 ; 30,50 ; 24,52 ; 122,00 ; 4,88 ;;;
07/jun/2022;7,70703; 39,71 ; 38,71 ; 32,87 ; 24,52 ; 122,00 ; 4,88 ;;;
08/jun/2022;7,72074; 39,71 ; 38,71 ; 32,87 ; 24,52 ; 122,00 ; 4,88 ;;;
09/jun/2022;7,72609; 39,71 ; 38,71 ; 32,87 ; 24,52 ; 122,00 ; 4,88 ;;;
10/jun/2022;7,73206; 39,71 ; 38,71 ; 32,87 ; 24,52 ; 122,00 ; 4,88 ;;;
11/jun/2022;7,73206; 39,71 ; 38,71 ; 32,87 ; 24,52 ; 122,00 ; 4,88 ;;;
12/jun/2022;7,73206; 39,71 ; 38,71 ; 32,87 ; 24,52 ; 122,00 ; 4,88 ;;;
13/jun/2022;7,73104; 39,71 ; 38,71 ; 32,87 ; 24,52 ; 122,00 ; 4,88 ;;;
14/jun/2022;7,73281; 41,51 ; 40,50 ; 35,44 ; 24,37 ; 122,00 ; 4,88 ;;;
15/jun/2022;7,73886; 41,51 ; 40,50 ; 35,44 ; 24,37 ; 122,00 ; 4,88 ;;;
16/jun/2022;7,73889; 41,51 ; 40,50 ; 35,44 ; 24,37 ; 122,00 ; 4,88 ;;;
17/jun/2022;7,74046; 41,51 ; 40,50 ; 35,44 ; 24,37 ; 122,00 ; 4,88 ;;;
18/jun/2022;7,74046; 41,51 ; 40,50 ; 35,44 ; 24,37 ; 122,00 ; 4,88 ;;;
19/jun/2022;7,74046; 41,51 ; 40,50 ; 35,44 ; 24,37 ; 122,00 ; 4,88 ;;;
20/jun/2022;7,74102; 41,51 ; 40,50 ; 35,44 ; 24,37 ; 122,00 ; 4,88 ;;;
21/jun/2022;7,74969; 40,63 ; 39,62 ; 36,89 ; 23,77 ; 122,00 ; 4,88 ;;;
22/jun/2022;7,74745; 40,63 ; 39,62 ; 36,89 ; 23,77 ; 122,00 ; 4,88 ;;;
23/jun/2022;7,75104; 40,63 ; 39,62 ; 36,89 ; 23,77 ; 122,00 ; 4,88 ;;;
24/jun/2022;7,75890; 40,63 ; 39,62 ; 36,89 ; 23,77 ; 122,00 ; 4,88 ;;;
25/jun/2022;7,75890; 40,63 ; 39,62 ; 36,89 ; 23,77 ; 122,00 ; 4,88 ;;;
26/jun/2022;7,75890; 40,63 ; 39,62 ; 36,89 ; 23,77 ; 122,00 ; 4,88 ;;;
27/jun/2022;7,75404; 40,63 ; 39,62 ; 36,89 ; 23,77 ; 122,00 ; 4,88 ;;;
