;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
PRECIOS  PROMEDIO A CONSUMIDOR FINAL EN CIUDAD CAPITAL;;;;;;;;;;;
;;;;;;;;;;;
FECHA;Tipo de Cambio;Superior;Regular;Diesel;Bunker;Glp Cilindro 25Lbs.;;;;;
;GTQ/USD;GTQ/GALON;GTQ/GALON;GTQ/GALON;GTQ/GALON;GTQ/CIL 25 LB;GTQ/LB;;;;
02/jun/2024;7,76756; 32,88 ; 31,37 ; 27,63 ; 21,69 ; 115,00 ; 4,60 ;;;;
03/jun/2024;7,76374; 32,51 ; 31,01 ; 27,31 ; 21,69 ; 115,00 ; 4,60 ;;;;
04/jun/2024;7,76850; 32,51 ; 31,01 ; 27,31 ; 21,69 ; 115,00 ; 4,60 ;;;;
05/jun/2024;7,76761; 32,51 ; 31,01 ; 27,31 ; 21,69 ; 115,00 ; 4,60 ;;;;
06/jun/2024;7,76844; 32,51 ; 31,01 ; 27,31 ; 21,69 ; 115,00 ; 4,60 ;;;;
07/jun/2024;7,76638; 32,51 ; 31,01 ; 27,31 ; 21,69 ; 115,00 ; 4,60 ;;;;
08/jun/2024;7,76638; 32,51 ; 31,01 ; 27,31 ; 21,69 ; 115,00 ; 4,60 ;;;;
09/jun/2024;7,76638; 32,51 ; 31,01 ; 27,31 ; 21,69 ; 115,00 ; 4,60 ;;;;
10/jun/2024;7,76241; 32,38 ; 30,88 ; 27,18 ; 21,19 ; 115,00 ; 4,60 ;;;;
11/jun/2024;7,76323; 32,38 ; 30,88 ; 27,18 ; 21,19 ; 115,00 ; 4,60 ;;;;
12/jun/2024;7,76210; 32,38 ; 30,88 ; 27,18 ; 21,19 ; 115,00 ; 4,60 ;;;;
13/jun/2024;7,76371; 32,38 ; 30,88 ; 27,18 ; 21,19 ; 115,00 ; 4,60 ;;;;
14/jun/2024;7,76989; 32,38 ; 30,88 ; 27,18 ; 21,19 ; 115,00 ; 4,60 ;;;;
15/jun/2024;7,76989; 32,38 ; 30,88 ; 27,18 ; 21,19 ; 115,00 ; 4,60 ;;;;
16/jun/2024;7,76989; 32,38 ; 30,88 ; 27,18 ; 20,19 ; 115,00 ; 4,60 ;;;;
17/jun/2024;7,75552; 32,38 ; 30,88 ; 27,56 ; 20,19 ; 115,00 ; 4,60 ;;;;
18/jun/2024;7,75549; 32,38 ; 30,88 ; 27,56 ; 20,19 ; 115,00 ; 4,60 ;;;;
19/jun/2024;7,75478; 32,38 ; 30,88 ; 27,56 ; 20,19 ; 115,00 ; 4,60 ;;;;
20/jun/2024;7,76354; 32,38 ; 30,88 ; 27,56 ; 20,19 ; 115,00 ; 4,60 ;;;;
21/jun/2024;7,76560; 32,38 ; 30,88 ; 27,56 ; 20,19 ; 115,00 ; 4,60 ;;;;
22/jun/2024;7,76560; 32,38 ; 30,88 ; 27,56 ; 20,19 ; 115,00 ; 4,60 ;;;;
23/jun/2024;7,76560; 32,38 ; 30,88 ; 27,56 ; 20,19 ; 115,00 ; 4,60 ;;;;
24/jun/2024;7,75704; 32,40 ; 30,91 ; 27,68 ; 19,19 ; 115,00 ; 4,60 ;;;;
25/jun/2024;7,76527; 32,40 ; 30,91 ; 27,68 ; 19,19 ; 110,00 ; 4,40 ;;;;
26/jun/2024;7,76529; 32,40 ; 30,91 ; 27,68 ; 19,19 ; 110,00 ; 4,40 ;;;;
27/jun/2024;7,76874; 32,40 ; 30,91 ; 27,68 ; 19,19 ; 110,00 ; 4,40 ;;;;
28/jun/2024;7,76874; 32,40 ; 30,91 ; 27,68 ; 19,19 ; 110,00 ; 4,40 ;;;;
29/jun/2024;7,76874; 32,40 ; 30,91 ; 27,68 ; 19,19 ; 110,00 ; 4,40 ;;;;
30/jun/2024;7,76874; 32,40 ; 30,91 ; 27,68 ; 19,19 ; 110,00 ; 4,40 ;;;;
01/jul/2024;7,76874; 32,40 ; 30,91 ; 27,68 ; 19,19 ; 110,00 ; 4,40 ;;;;
02/jul/2024;7,76071; 32,40 ; 30,91 ; 27,68 ; 19,19 ; 110,00 ; 4,40 ;;;;
03/jul/2024;7,76488; 32,67 ; 31,17 ; 28,53 ; 19,19 ; 110,00 ; 4,40 ;;;;
04/jul/2024;7,76514; 32,67 ; 31,17 ; 28,53 ; 19,19 ; 110,00 ; 4,40 ;;;;
05/jul/2024;7,76235; 32,67 ; 31,17 ; 28,53 ; 19,19 ; 110,00 ; 4,40 ;;;;
06/jul/2024;7,76235; 32,67 ; 31,17 ; 28,53 ; 19,19 ; 110,00 ; 4,40 ;;;;
07/jul/2024;7,76235; 32,67 ; 31,17 ; 28,53 ; 19,19 ; 110,00 ; 4,40 ;;;;
08/jul/2024;7,75548; 32,68 ; 31,17 ; 28,16 ; 19,19 ; 110,00 ; 4,40 ;;;;
09/jul/2024;7,75396; 32,68 ; 31,17 ; 28,16 ; 19,19 ; 110,00 ; 4,40 ;;;;
10/jul/2024;7,75632; 32,68 ; 31,17 ; 28,16 ; 19,19 ; 110,00 ; 4,40 ;;;;
11/jul/2024;7,76475; 32,68 ; 31,17 ; 28,16 ; 19,19 ; 110,00 ; 4,40 ;;;;
12/jul/2024;7,75719; 32,68 ; 31,17 ; 28,16 ; 19,19 ; 110,00 ; 4,40 ;;;;
13/jul/2024;7,75719; 32,68 ; 31,17 ; 28,16 ; 19,19 ; 110,00 ; 4,40 ;;;;
14/jul/2024;7,75719; 32,68 ; 31,17 ; 28,16 ; 19,19 ; 110,00 ; 4,40 ;;;;
15/jul/2024;7,74966; 33,23 ; 31,73 ; 28,55 ; 19,19 ; 110,00 ; 4,40 ;;;;
16/jul/2024;7,74930; 33,23 ; 31,73 ; 28,55 ; 19,19 ; 110,00 ; 4,40 ;;;;
17/jul/2024;7,75223; 33,23 ; 31,73 ; 28,55 ; 19,19 ; 110,00 ; 4,40 ;;;;
18/jul/2024;7,75657; 33,23 ; 31,73 ; 28,55 ; 19,19 ; 110,00 ; 4,40 ;;;;
19/jul/2024;7,75590; 33,23 ; 31,73 ; 28,55 ; 19,19 ; 110,00 ; 4,40 ;;;;
20/jul/2024;7,75590; 33,23 ; 31,73 ; 28,55 ; 19,19 ; 110,00 ; 4,40 ;;;;
21/jul/2024;7,75590; 33,23 ; 31,73 ; 28,55 ; 19,19 ; 110,00 ; 4,40 ;;;;
22/jul/2024;7,74805; 32,79 ; 31,29 ; 28,09 ; 19,19 ; 110,00 ; 4,40 ;;;;
23/jul/2024;7,75022; 32,79 ; 31,29 ; 28,09 ; 19,19 ; 110,00 ; 4,40 ;;;;
24/jul/2024;7,74953; 32,79 ; 31,29 ; 28,09 ; 19,19 ; 110,00 ; 4,40 ;;;;
25/jul/2024;7,74970; 32,79 ; 31,29 ; 28,09 ; 19,19 ; 110,00 ; 4,40 ;;;;
26/jul/2024;7,74973; 32,79 ; 31,29 ; 28,09 ; 19,19 ; 110,00 ; 4,40 ;;;;
27/jul/2024;7,74973; 32,79 ; 31,29 ; 28,09 ; 19,19 ; 110,00 ; 4,40 ;;;;
28/jul/2024;7,74973; 32,79 ; 31,29 ; 28,09 ; 19,19 ; 110,00 ; 4,40 ;;;;
29/jul/2024;7,74729; 32,63 ; 31,13 ; 27,93 ; 19,19 ; 110,00 ; 4,40 ;;;;
30/jul/2024;7,74698; 32,63 ; 31,13 ; 27,93 ; 19,19 ; 110,00 ; 4,40 ;;;;
