FECHA;Tipo de Cambio;Superior;Regular;Diesel;Bunker;Glp Cilindro 25Lbs.;;;;;
16/jun/2023;7,83924; 33,10 ; 31,78 ; 26,30 ; 17,52 ; 135,00 ; 5,40 ;;;;
17/jun/2023;7,83924; 33,10 ; 31,78 ; 26,30 ; 17,52 ; 135,00 ; 5,40 ;;;;
18/jun/2023;7,83924; 33,10 ; 31,78 ; 26,30 ; 17,52 ; 135,00 ; 5,40 ;;;;
19/jun/2023;7,83373; 33,08 ; 31,79 ; 26,25 ; 18,82 ; 135,00 ; 5,40 ;;;;
20/jun/2023;7,84215; 33,08 ; 31,79 ; 26,25 ; 18,82 ; 135,00 ; 5,40 ;;;;
21/jun/2023;7,83770; 33,08 ; 31,79 ; 26,25 ; 18,82 ; 135,00 ; 5,40 ;;;;
22/jun/2023;7,83963; 33,08 ; 31,79 ; 26,25 ; 18,82 ; 135,00 ; 5,40 ;;;;
23/jun/2023;7,84308; 33,08 ; 31,79 ; 26,25 ; 18,82 ; 135,00 ; 5,40 ;;;;
24/jun/2023;7,84308; 33,08 ; 31,79 ; 26,25 ; 18,82 ; 135,00 ; 5,40 ;;;;
25/jun/2023;7,84308; 33,08 ; 31,79 ; 26,25 ; 18,82 ; 135,00 ; 5,40 ;;;;
26/jun/2023;7,83445; 33,08 ; 31,79 ; 26,25 ; 18,82 ; 135,00 ; 5,40 ;;;;
27/jun/2023;7,84069; 34,16 ; 32,66 ; 27,00 ; 18,82 ; 135,00 ; 5,40 ;;;;
28/jun/2023;7,84326; 34,16 ; 32,66 ; 27,00 ; 18,82 ; 135,00 ; 5,40 ;;;;
29/jun/2023;7,84576; 34,16 ; 32,66 ; 27,00 ; 18,82 ; 135,00 ; 5,40 ;;;;
30/jun/2023;7,84576; 34,16 ; 32,66 ; 27,00 ; 18,82 ; 135,00 ; 5,40 ;;;;
01/jul/2023;7,84576; 34,16 ; 32,66 ; 27,00 ; 18,82 ; 135,00 ; 5,40 ;;;;
02/jul/2023;7,84576; 34,16 ; 32,66 ; 27,00 ; 18,82 ; 135,00 ; 5,40 ;;;;
03/jul/2023;7,84576; 34,16 ; 32,66 ; 27,00 ; 18,82 ; 135,00 ; 5,40 ;;;;
04/jul/2023;7,84107; 33,52 ; 32,01 ; 26,97 ; 19,70 ; 135,00 ; 5,40 ;;;;
05/jul/2023;7,84545; 33,52 ; 32,01 ; 26,97 ; 19,70 ; 135,00 ; 5,40 ;;;;
06/jul/2023;7,84564; 33,52 ; 32,01 ; 26,97 ; 19,70 ; 135,00 ; 5,40 ;;;;
07/jul/2023;7,84717; 33,52 ; 32,01 ; 26,97 ; 19,70 ; 135,00 ; 5,40 ;;;;
08/jul/2023;7,84717; 33,52 ; 32,01 ; 26,97 ; 19,70 ; 135,00 ; 5,40 ;;;;
09/jul/2023;7,84717; 33,52 ; 32,01 ; 26,97 ; 19,70 ; 135,00 ; 5,40 ;;;;
10/jul/2023;7,84097; 33,51 ; 32,01 ; 26,96 ; 19,45 ; 135,00 ; 5,40 ;;;;
11/jul/2023;7,84161; 33,51 ; 32,01 ; 26,96 ; 19,45 ; 135,00 ; 5,40 ;;;;
